date,rise,tran,set
2019-01-01,07:03,12:27,17:51
2019-01-02,07:03,12:27,17:51
2019-01-03,07:03,12:28,17:52
2019-01-04,07:04,12:28,17:53
2019-01-05,07:04,12:28,17:53
2019-01-06,07:04,12:29,17:54
2019-01-07,07:04,12:29,17:55
2019-01-08,07:04,12:30,17:55
2019-01-09,07:05,12:30,17:56
2019-01-10,07:05,12:31,17:57
2019-01-11,07:05,12:31,17:57
2019-01-12,07:05,12:31,17:58
2019-01-13,07:05,12:32,17:59
2019-01-14,07:05,12:32,17:59
2019-01-15,07:05,12:33,18:00
2019-01-16,07:05,12:33,18:01
2019-01-17,07:05,12:33,18:01
2019-01-18,07:05,12:34,18:02
2019-01-19,07:05,12:34,18:03
2019-01-20,07:05,12:34,18:04
2019-01-21,07:05,12:34,18:04
2019-01-22,07:05,12:35,18:05
2019-01-23,07:05,12:35,18:06
2019-01-24,07:04,12:35,18:06
2019-01-25,07:04,12:35,18:07
2019-01-26,07:04,12:36,18:08
2019-01-27,07:04,12:36,18:08
2019-01-28,07:04,12:36,18:09
2019-01-29,07:03,12:36,18:10
2019-01-30,07:03,12:36,18:10
2019-01-31,07:03,12:37,18:11
2019-02-01,07:02,12:37,18:12
2019-02-02,07:02,12:37,18:12
2019-02-03,07:01,12:37,18:13
2019-02-04,07:01,12:37,18:13
2019-02-05,07:01,12:37,18:14
2019-02-06,07:00,12:37,18:15
2019-02-07,07:00,12:37,18:15
2019-02-08,06:59,12:37,18:16
2019-02-09,06:59,12:37,18:17
2019-02-10,06:58,12:38,18:17
2019-02-11,06:58,12:38,18:18
2019-02-12,06:57,12:38,18:18
2019-02-13,06:56,12:38,18:19
2019-02-14,06:56,12:37,18:19
2019-02-15,06:55,12:37,18:20
2019-02-16,06:55,12:37,18:20
2019-02-17,06:54,12:37,18:21
2019-02-18,06:53,12:37,18:22
2019-02-19,06:53,12:37,18:22
2019-02-20,06:52,12:37,18:23
2019-02-21,06:51,12:37,18:23
2019-02-22,06:50,12:37,18:24
2019-02-23,06:50,12:37,18:24
2019-02-24,06:49,12:37,18:24
2019-02-25,06:48,12:36,18:25
2019-02-26,06:47,12:36,18:25
2019-02-27,06:47,12:36,18:26
2019-02-28,06:46,12:36,18:26
2019-03-01,06:45,12:36,18:27
2019-03-02,06:44,12:36,18:27
2019-03-03,06:43,12:35,18:28
2019-03-04,06:43,12:35,18:28
2019-03-05,06:42,12:35,18:28
2019-03-06,06:41,12:35,18:29
2019-03-07,06:40,12:34,18:29
2019-03-08,06:39,12:34,18:30
2019-03-09,06:38,12:34,18:30
2019-03-10,06:37,12:34,18:30
2019-03-11,06:36,12:33,18:31
2019-03-12,06:36,12:33,18:31
2019-03-13,06:35,12:33,18:32
2019-03-14,06:34,12:33,18:32
2019-03-15,06:33,12:32,18:32
2019-03-16,06:32,12:32,18:33
2019-03-17,06:31,12:32,18:33
2019-03-18,06:30,12:32,18:33
2019-03-19,06:29,12:31,18:34
2019-03-20,06:28,12:31,18:34
2019-03-21,06:27,12:31,18:35
2019-03-22,06:26,12:30,18:35
2019-03-23,06:25,12:30,18:35
2019-03-24,06:24,12:30,18:36
2019-03-25,06:23,12:29,18:36
2019-03-26,06:22,12:29,18:36
2019-03-27,06:21,12:29,18:37
2019-03-28,06:21,12:29,18:37
2019-03-29,06:20,12:28,18:37
2019-03-30,06:19,12:28,18:38
2019-03-31,06:18,12:28,18:38
2019-04-01,06:17,12:27,18:38
2019-04-02,06:16,12:27,18:39
2019-04-03,06:15,12:27,18:39
2019-04-04,06:14,12:26,18:39
2019-04-05,06:13,12:26,18:40
2019-04-06,06:12,12:26,18:40
2019-04-07,06:11,12:26,18:40
2019-04-08,06:10,12:25,18:41
2019-04-09,06:09,12:25,18:41
2019-04-10,06:08,12:25,18:41
2019-04-11,06:08,12:25,18:42
2019-04-12,06:07,12:24,18:42
2019-04-13,06:06,12:24,18:43
2019-04-14,06:05,12:24,18:43
2019-04-15,06:04,12:24,18:43
2019-04-16,06:03,12:23,18:44
2019-04-17,06:02,12:23,18:44
2019-04-18,06:02,12:23,18:44
2019-04-19,06:01,12:23,18:45
2019-04-20,06:00,12:22,18:45
2019-04-21,05:59,12:22,18:46
2019-04-22,05:58,12:22,18:46
2019-04-23,05:58,12:22,18:46
2019-04-24,05:57,12:22,18:47
2019-04-25,05:56,12:21,18:47
2019-04-26,05:55,12:21,18:47
2019-04-27,05:55,12:21,18:48
2019-04-28,05:54,12:21,18:48
2019-04-29,05:53,12:21,18:49
2019-04-30,05:52,12:21,18:49
2019-05-01,05:52,12:20,18:50
2019-05-02,05:51,12:20,18:50
2019-05-03,05:50,12:20,18:50
2019-05-04,05:50,12:20,18:51
2019-05-05,05:49,12:20,18:51
2019-05-06,05:49,12:20,18:52
2019-05-07,05:48,12:20,18:52
2019-05-08,05:47,12:20,18:53
2019-05-09,05:47,12:20,18:53
2019-05-10,05:46,12:20,18:53
2019-05-11,05:46,12:20,18:54
2019-05-12,05:45,12:20,18:54
2019-05-13,05:45,12:20,18:55
2019-05-14,05:44,12:20,18:55
2019-05-15,05:44,12:20,18:56
2019-05-16,05:43,12:20,18:56
2019-05-17,05:43,12:20,18:57
2019-05-18,05:43,12:20,18:57
2019-05-19,05:42,12:20,18:58
2019-05-20,05:42,12:20,18:58
2019-05-21,05:42,12:20,18:58
2019-05-22,05:41,12:20,18:59
2019-05-23,05:41,12:20,18:59
2019-05-24,05:41,12:20,19:00
2019-05-25,05:40,12:20,19:00
2019-05-26,05:40,12:20,19:01
2019-05-27,05:40,12:20,19:01
2019-05-28,05:40,12:21,19:02
2019-05-29,05:39,12:21,19:02
2019-05-30,05:39,12:21,19:02
2019-05-31,05:39,12:21,19:03
2019-06-01,05:39,12:21,19:03
2019-06-02,05:39,12:21,19:04
2019-06-03,05:39,12:21,19:04
2019-06-04,05:39,12:22,19:05
2019-06-05,05:39,12:22,19:05
2019-06-06,05:39,12:22,19:05
2019-06-07,05:39,12:22,19:06
2019-06-08,05:39,12:22,19:06
2019-06-09,05:39,12:22,19:06
2019-06-10,05:39,12:23,19:07
2019-06-11,05:39,12:23,19:07
2019-06-12,05:39,12:23,19:07
2019-06-13,05:39,12:23,19:08
2019-06-14,05:39,12:23,19:08
2019-06-15,05:39,12:24,19:08
2019-06-16,05:39,12:24,19:09
2019-06-17,05:39,12:24,19:09
2019-06-18,05:39,12:24,19:09
2019-06-19,05:40,12:25,19:09
2019-06-20,05:40,12:25,19:10
2019-06-21,05:40,12:25,19:10
2019-06-22,05:40,12:25,19:10
2019-06-23,05:40,12:25,19:10
2019-06-24,05:41,12:26,19:11
2019-06-25,05:41,12:26,19:11
2019-06-26,05:41,12:26,19:11
2019-06-27,05:41,12:26,19:11
2019-06-28,05:42,12:26,19:11
2019-06-29,05:42,12:27,19:11
2019-06-30,05:42,12:27,19:11
2019-07-01,05:43,12:27,19:11
2019-07-02,05:43,12:27,19:11
2019-07-03,05:43,12:27,19:11
2019-07-04,05:44,12:28,19:11
2019-07-05,05:44,12:28,19:11
2019-07-06,05:44,12:28,19:11
2019-07-07,05:45,12:28,19:11
2019-07-08,05:45,12:28,19:11
2019-07-09,05:46,12:28,19:11
2019-07-10,05:46,12:29,19:11
2019-07-11,05:46,12:29,19:11
2019-07-12,05:47,12:29,19:11
2019-07-13,05:47,12:29,19:11
2019-07-14,05:48,12:29,19:11
2019-07-15,05:48,12:29,19:10
2019-07-16,05:48,12:29,19:10
2019-07-17,05:49,12:29,19:10
2019-07-18,05:49,12:30,19:10
2019-07-19,05:50,12:30,19:09
2019-07-20,05:50,12:30,19:09
2019-07-21,05:50,12:30,19:09
2019-07-22,05:51,12:30,19:08
2019-07-23,05:51,12:30,19:08
2019-07-24,05:52,12:30,19:08
2019-07-25,05:52,12:30,19:07
2019-07-26,05:53,12:30,19:07
2019-07-27,05:53,12:30,19:07
2019-07-28,05:53,12:30,19:06
2019-07-29,05:54,12:30,19:06
2019-07-30,05:54,12:30,19:05
2019-07-31,05:55,12:30,19:05
2019-08-01,05:55,12:30,19:04
2019-08-02,05:55,12:30,19:04
2019-08-03,05:56,12:30,19:03
2019-08-04,05:56,12:29,19:02
2019-08-05,05:57,12:29,19:02
2019-08-06,05:57,12:29,19:01
2019-08-07,05:57,12:29,19:01
2019-08-08,05:58,12:29,19:00
2019-08-09,05:58,12:29,18:59
2019-08-10,05:59,12:29,18:59
2019-08-11,05:59,12:29,18:58
2019-08-12,05:59,12:28,18:57
2019-08-13,06:00,12:28,18:57
2019-08-14,06:00,12:28,18:56
2019-08-15,06:00,12:28,18:55
2019-08-16,06:01,12:28,18:54
2019-08-17,06:01,12:28,18:54
2019-08-18,06:01,12:27,18:53
2019-08-19,06:02,12:27,18:52
2019-08-20,06:02,12:27,18:51
2019-08-21,06:02,12:27,18:50
2019-08-22,06:03,12:26,18:50
2019-08-23,06:03,12:26,18:49
2019-08-24,06:03,12:26,18:48
2019-08-25,06:04,12:26,18:47
2019-08-26,06:04,12:25,18:46
2019-08-27,06:04,12:25,18:45
2019-08-28,06:05,12:25,18:44
2019-08-29,06:05,12:24,18:44
2019-08-30,06:05,12:24,18:43
2019-08-31,06:06,12:24,18:42
2019-09-01,06:06,12:23,18:41
2019-09-02,06:06,12:23,18:40
2019-09-03,06:06,12:23,18:39
2019-09-04,06:07,12:23,18:38
2019-09-05,06:07,12:22,18:37
2019-09-06,06:07,12:22,18:36
2019-09-07,06:08,12:22,18:35
2019-09-08,06:08,12:21,18:34
2019-09-09,06:08,12:21,18:33
2019-09-10,06:08,12:20,18:32
2019-09-11,06:09,12:20,18:31
2019-09-12,06:09,12:20,18:30
2019-09-13,06:09,12:19,18:29
2019-09-14,06:10,12:19,18:28
2019-09-15,06:10,12:19,18:27
2019-09-16,06:10,12:18,18:26
2019-09-17,06:10,12:18,18:25
2019-09-18,06:11,12:18,18:24
2019-09-19,06:11,12:17,18:23
2019-09-20,06:11,12:17,18:22
2019-09-21,06:12,12:17,18:21
2019-09-22,06:12,12:16,18:20
2019-09-23,06:12,12:16,18:19
2019-09-24,06:12,12:16,18:18
2019-09-25,06:13,12:15,18:17
2019-09-26,06:13,12:15,18:16
2019-09-27,06:13,12:14,18:15
2019-09-28,06:14,12:14,18:14
2019-09-29,06:14,12:14,18:13
2019-09-30,06:14,12:13,18:12
2019-10-01,06:14,12:13,18:11
2019-10-02,06:15,12:13,18:11
2019-10-03,06:15,12:13,18:10
2019-10-04,06:15,12:12,18:09
2019-10-05,06:16,12:12,18:08
2019-10-06,06:16,12:12,18:07
2019-10-07,06:16,12:11,18:06
2019-10-08,06:17,12:11,18:05
2019-10-09,06:17,12:11,18:04
2019-10-10,06:17,12:10,18:03
2019-10-11,06:18,12:10,18:02
2019-10-12,06:18,12:10,18:01
2019-10-13,06:19,12:10,18:00
2019-10-14,06:19,12:09,18:00
2019-10-15,06:19,12:09,17:59
2019-10-16,06:20,12:09,17:58
2019-10-17,06:20,12:09,17:57
2019-10-18,06:21,12:09,17:56
2019-10-19,06:21,12:08,17:55
2019-10-20,06:21,12:08,17:55
2019-10-21,06:22,12:08,17:54
2019-10-22,06:22,12:08,17:53
2019-10-23,06:23,12:08,17:52
2019-10-24,06:23,12:08,17:52
2019-10-25,06:24,12:07,17:51
2019-10-26,06:24,12:07,17:50
2019-10-27,06:25,12:07,17:50
2019-10-28,06:25,12:07,17:49
2019-10-29,06:26,12:07,17:48
2019-10-30,06:26,12:07,17:48
2019-10-31,06:27,12:07,17:47
2019-11-01,06:27,12:07,17:46
2019-11-02,06:28,12:07,17:46
2019-11-03,06:28,12:07,17:45
2019-11-04,06:29,12:07,17:45
2019-11-05,06:29,12:07,17:44
2019-11-06,06:30,12:07,17:44
2019-11-07,06:30,12:07,17:43
2019-11-08,06:31,12:07,17:43
2019-11-09,06:32,12:07,17:42
2019-11-10,06:32,12:07,17:42
2019-11-11,06:33,12:07,17:42
2019-11-12,06:33,12:07,17:41
2019-11-13,06:34,12:07,17:41
2019-11-14,06:35,12:08,17:40
2019-11-15,06:35,12:08,17:40
2019-11-16,06:36,12:08,17:40
2019-11-17,06:36,12:08,17:40
2019-11-18,06:37,12:08,17:39
2019-11-19,06:38,12:09,17:39
2019-11-20,06:38,12:09,17:39
2019-11-21,06:39,12:09,17:39
2019-11-22,06:40,12:09,17:39
2019-11-23,06:40,12:10,17:39
2019-11-24,06:41,12:10,17:38
2019-11-25,06:42,12:10,17:38
2019-11-26,06:42,12:10,17:38
2019-11-27,06:43,12:11,17:38
2019-11-28,06:44,12:11,17:38
2019-11-29,06:44,12:11,17:38
2019-11-30,06:45,12:12,17:38
2019-12-01,06:46,12:12,17:38
2019-12-02,06:46,12:12,17:38
2019-12-03,06:47,12:13,17:39
2019-12-04,06:48,12:13,17:39
2019-12-05,06:48,12:14,17:39
2019-12-06,06:49,12:14,17:39
2019-12-07,06:50,12:14,17:39
2019-12-08,06:50,12:15,17:39
2019-12-09,06:51,12:15,17:40
2019-12-10,06:52,12:16,17:40
2019-12-11,06:52,12:16,17:40
2019-12-12,06:53,12:17,17:41
2019-12-13,06:53,12:17,17:41
2019-12-14,06:54,12:18,17:41
2019-12-15,06:55,12:18,17:42
2019-12-16,06:55,12:19,17:42
2019-12-17,06:56,12:19,17:42
2019-12-18,06:56,12:20,17:43
2019-12-19,06:57,12:20,17:43
2019-12-20,06:57,12:21,17:44
2019-12-21,06:58,12:21,17:44
2019-12-22,06:58,12:22,17:45
2019-12-23,06:59,12:22,17:45
2019-12-24,06:59,12:23,17:46
2019-12-25,07:00,12:23,17:46
2019-12-26,07:00,12:24,17:47
2019-12-27,07:01,12:24,17:47
2019-12-28,07:01,12:25,17:48
2019-12-29,07:02,12:25,17:49
2019-12-30,07:02,12:26,17:49
2019-12-31,07:02,12:26,17:50
